licenseNumber,legalName,licenseType,Address,licenseExpiryDate,zip,phone,email,hours
DAAA-L3F2-WX6E,JONES DISPENSARY GROUP LLC,Dispensary,", Yukon, Canadian",2024-02-01,73099,(620) 482-6904,crystal@roserockdispensary.com,8am-8pm
PAAA-NE7K-SPKC,"JOY Extracts, L.L.C.",Processor,", BLANCHARD, Grady",2023-11-06,73010,4059909455,backupnnieto@gmail.com,M-F 9:00 a.m. - 5:00 p.m.
GAAI-DRUL-0IAK,"JP Canna Group, LLC",Grower Indoor,", OKLAHOMA CITY, Oklahoma",2025-01-01,73118-8001,7209340113,jpcannagroup@gmail.com,8AM to 5PM
DAAA-EKQA-OA8J,JPAZ 2 INC,Dispensary,"120 E HIGHWAY 54, GUYMON, Texas",2023-12-26,73942,6026172277,jeremy@cimirronpharma.com,8 am - 12am
GAAA-BVAE-YGTW,JPT Farm LLC,Grower,"10864 E DON MAGGARD RD, LOCUST GROVE, Cherokee",2024-03-24,74352-5172,6512088839,kozxiong@gmail.com,9 to 5
GAAA-ZD6Q-HF5V,"JR & DR Grow, LLC",Grower,", Flethcer, Comanche",2024-10-15,73541,(580) 483-3985,dennisdoylerankin@icloud.com,N/A
GAAA-HA3O-SMN3,"JR & MP Grow, LLC",Grower,", Fletcher, Comanche",2024-03-10,73541,(580) 483-3985,joanerankin@yahoo.com,N/A
DAAA-EJK2-N5DS,JR & MP Processing LLC,Dispensary,", ELGIN, Comanche",2024-01-02,73538-4517,(580) 483-3985,dennisdoylerankin@icloud.com,08:00 - 17:00
PAAA-EAS0-IWOM,"JR & MP Processing, LLC",Processor,", Fletcher, Comanche",2024-05-09,73541,(580) 483-3985,dennisdoylerankin@icloud.com,N/A
PAAA-81ZV-YDR5,"JR & MP Processing, LLC",Processor,"13299 NE 165, Fletcher, Comanche",2023-09-19,73541,(580) 483-3985,dennisdoylerankin@icloud.com,N/A
GAAA-WFMU-PPC5,JRAY Farms LLC,Grower,"401035 W 1200 RD, DEWEY, Washington",2024-01-08,74029-4300,(918) 521-2825,rayforklift@outlook.com,9-5
GAAA-N1YO-VDMH,"JS0429, LLC",Grower,", OKLAHOMA CITY, Oklahoma",2024-01-14,73139-2105,(248) 884-9254,jfd711@gmail.com,11am-7pm
GAAA-SFTI-E6OJ,JSE Farms LLC,Grower,"28109 COUNTY STREET 2510, FORT COBB, Caddo",2023-04-19,73038,4053590600,charper@chrisharperlaw.com,9-5
PAAA-XDF4-D4ZI,JSE PROCESSING LLC,Processor,", FORT COBB, Caddo",2023-09-12,73038-5881,(314) 681-9843,jake@moderncannabis.com,9-5
GAAI-NK3Y-YWFS,"JTR Growers, LLC",Grower Indoor,"6425 N MERIDIAN AVE, OKLAHOMA CITY, Oklahoma",2025-01-12,73116-1402,(405) 824-4398,thegreencollective6425@gmail.com,11-7
GAAA-4JPO-TXCP,JUBILANT FARM LLC,Grower,", VINITA, Craig",2023-10-31,74301-0000,9189920217,jubilantfarmllc@gmail.com,9am-5pm
DAAA-VYJN-DF88,JUDE'S FARM LLC,Dispensary,", ALTUS, Jackson",2024-04-17,73521-3134,(580) 482-2820,clintwalker238@yahoo.com,9AM-9PM Monday-Saturday; 12pm-9pm Sunday
TAAA-VJFT-KTPF,JULY TRANSPORATION INC,Transporter,", KINGFISHER, Kingfisher",2023-08-18,73750,(347) 607-8560,julytransportationinc@yahoo.com,09:00AM-05:00PM M-F
GAAA-BXWK-ZPPB,JUPITER HOLDINGS LLC,Grower,", OKEMAH, Okfuskee",2023-11-23,74859-5906,(405) 338-5425,ndmkf0504@gmail.com,10a-8p
GAAA-NYE8-3NOD,JW ELITE PHARMS LLC,Grower,", ARDMORE, Carter",2023-08-30,73401-0627,5804650561,jwelitepharms@yahoo.com,BY APPOINTMENT
GAAI-O88D-P51T,JWJ ANDY LLC,Grower Indoor,", MEAD, Bryan",2024-10-20,73449,(609) 933-1856,jielin73449@gmail.com,N/A
GAAA-58N4-FYO1,JXHY LLC,Grower,", Duncan, Stephens",2024-03-24,73529,(917) 859-0389,ytweng9482@gmail.com,9am - 5pm
GAAA-NTNU-FOKZ,JXK FARM LLC,Grower,", ERICK, Beckham",2023-08-02,73645-4512,(405) 283-3888,jxkfarmllc001@gmail.com,
GAAA-WCLB-FX7F,JXWerx LLC,Grower,"1433 NW EXPRESSWAY, OKLAHOMA CITY, Oklahoma",2023-09-25,73118-4409,4056268889,jxwerx.llc@gmail.com,24/7
GAAA-U7QE-BXNF,"JYC FARM and AG, LLC",Grower,"53335 S COUNTY ROAD 238, CHESTER, Major",2024-01-02,73838-2271,6469799993,williamjaechen888@gmail.com,9-5
GAAA-0COX-AREU,JYL Green Resources LLC,Grower,", BOLEY, Okfuskee",2023-10-04,74829-2500,8327588509,dzhao1@gmail.com,9:00am to 5:00pm
GAAA-87BA-FORD,"JZ Happy Farms, Inc",Grower,"28310 COUNTY ROAD 1600, TUPELO, Pontotoc",2023-06-27,74572-5021,(347) 888-8830,wenqinye72@yahoo.com,9-5
DAAA-0YBE-K0RQ,"JackPot Pharms Dispensary, LLC",Dispensary,"227 N 4340 rd, FORT TOWSON, Choctaw",2024-07-29,74735,(580) 372-4606,jackpotpharms@yahoo.com,N/A
GAAA-EOVP-LFNZ,Jackalope Farm Group LLC,Grower,"59972 S 4651 RD, WATTS, Adair",2024-05-18,74964,9183148418,jackalopefarmsok@gmail.com,By appointment only
GAAA-F8XL-276F,"Jackson Wood Services, Inc.",Grower,"1260 N Industrial Park Road, Jay, Delaware",2023-04-20,74346,9183143314,jgilmore@trulyheightenedcannabis.com,9:00 am to 5:00 pm
GAAA-BP4G-S14L,Jacksons Hillside farm LLC,Grower,"2779 SW 1100TH AVE, WILBURTON, Latimer",2024-01-27,74578,9184484494,jacksonshillside@gmail.com,6:00 a.m to 10:00 p.m
GAAA-PF8J-QPVP,"Jade Creek, LLC",Grower,", STROUD, Lincoln",2024-08-17,74079-4826,(917) 257-8152,jadecreekok@gmail.com,9am to 6pm
GAAA-11FX-YYDG,"Jade Dragon Garden, Inc",Grower,"17600 N HEARTLAND LN, LEXINGTON, Cleveland",2024-08-29,73051-2302,(646) 246-4888,danlin2885@me.com,9-5
GAAA-HPFN-W2PH,Jade Eagle LLC,Grower,"447291 E 996 RD, GORE, Sequoyah",2023-11-15,74435-5441,9183169684,jadeeagle@jadeeaglellc.com,10am-5pm M-F
GAAA-VYEN-ZOGR,Jade Farms LLC,Grower,"14921 N LINCOLN BLVD, EDMOND, Oklahoma",2023-11-13,73013-3423,4056648216,onamsn@aol.com,8:30am-3:30pm
GAAA-R6AL-8ODC,Jade Palace Inc,Grower,", Kingfisher, Kingfisher",2024-07-08,73750,4054569997,csiservicesokc@gmail.com,10a-8p
GAAA-9XU3-SSND,Jade Rush Holdings LLC,Grower,", KENDRICK, Lincoln",2023-11-09,74079-8149,(206) 354-0435,lawdogx73@gmail.com,
GAAA-AO75-BU2L,Jade Sector LLC,Grower,"16398 E 658 RD, Tahlequah, Cherokee",2023-12-06,74464,(918) 829-0254,jadesectorllc@gmail.com,24/7
DAAA-NJ7J-28N7,Jade Wellness Center LLC,Dispensary,"9402 East 55th Place B, Tulsa, Tulsa",2024-09-27,74145,9184384820,jadewellness918@gmail.com,10:00 am-8:00 pm
DAAA-VJMY-AVHZ,Jake's Beyond Bud Inc.,Dispensary,", TULSA, Tulsa",2024-05-31,74127-7342,9185144208,jennaulrich@yahoo.com,10AM-7PM
GAAA-NGSC-3E71,Jake's Fire LLC,Grower,", SHAWNEE, Pottawatomie",2023-11-14,74804-9615,4053612985,jakesfireok@gmail.com,10-5
PAAA-Y92T-96RR,Jake's Label LLC,Processor,"3414 Nw Cache Rd, Lawton, Comanche",2023-12-29,73505,(580) 695-4702,merakiextracts@gmail.com,9am-5pm
GAAA-NKNM-8SN9,James Hill,Grower,"21340 COUNTY ROAD EW 185, FREDERICK, Tillman",2024-02-10,73542,7076213633,okmedicalcannabis@outlook.com,7am -8am
GAAA-7PKB-S8HQ,James Jones,Grower,"419638 TEXANNA RD, CHECOTAH, McIntosh",2023-05-23,74426-1141,(918) 500-3621,admin@purehealthok.com,1pm-4pm
DAAA-EJJ7-VSAX,Jameson and Sons Investments LLC,Dispensary,"1701 S MUSTANG RD, YUKON, Canadian",2025-05-24,73099-0370,(405) 435-6284,okiemedicineflower@gmail.com,M-TH 9am-9pm Fri and Sat. 9am-10pm Sunday 12-6pm
DAAA-QIZF-WVDA,Jamie L Carter,Dispensary,"405 Highway 59 N, Lot A, Heavener, Le Flore",2024-08-09,74937,(918) 721-3576,tammiecoffee@gmail.com,8 am to 5 pm
GAAA-JEIX-FKII,JandJ PACKAGE LLC,Grower,", WILSON, Carter",2023-10-30,73463,(838) 877-7888,jandjpackagellc@gmail.com,8-5
DAAA-E1RL-BB6D,JandK Dispensary LLC,Dispensary,"1307 N KICKAPOO AVE, SHAWNEE, Pottawatomie",2024-02-01,74801-4823,4059193605,shakic@aol.com,10:00 to 10:00
GAAA-42GI-PFCK,Jasmine Green LLC,Grower,", YALE, Payne",2023-10-20,74085-6941,(626) 380-6925,jasminegreenllc@protonmail.com,M - F 10:00 a.m. to 4:00 p.m.
GAAA-K4DH-XKEV,Jason Offield,Grower,"6683 SR Highway 91, Colbert, Bryan",2024-05-18,74733,(214) 577-9612,bmfspeed73@gmail.com,9to5
GAAA-9WJ8-MLV6,Jatt Farms LLC,Grower,", CALERA, Bryan",2023-02-01,74730,(405) 779-1316,waymon.wynn@gmail.com,8-5
GAAA-ASP6-Z6LY,Jay OK Venture LLC,Grower,"20549 E 449 Road, Jay, Delaware",2024-02-14,74346,(405) 443-0303,zhongzhuo682@gmail.com,8am - 5pm
GAAI-ZXSK-LZ2S,Jay Packs Consulting LLC,Grower Indoor,"8600 W. Simpson Rd., Edmond, Logan",2024-08-03,73025,(760) 403-5494,shawn@ietrans.com,10am-5pm
GAAA-EYTJ-KANO,"Jay S&A, LLC",Grower,"39756 S 680 RD, JAY, Delaware",2024-03-27,74346,9183532133,sailee5813@gmail.com,10AM-6PM GROWN SEASON 2PM-4PM WINTER SEASON .
DAAA-UZCX-3HU2,Jay SandA LLC,Dispensary,"549 S. 3RD STREET, Langley, Mayes",2024-02-17,74350,9183532123,ekaleel2010@gmail.com,24/7
GAAA-EABB-P3QG,"Jaydrix's Farms, LLC",Grower,", HENRYETTA, Okmulgee",2023-04-24,74437-7284,(707) 223-7711,glendahayes0614@gmail.com,
GAAI-EB7F-IT6E,"Jayne Pharms, LLC",Grower Indoor,"9901 E 46th Pl, Tulsa, Tulsa",2024-12-21,74146,9183783368,jaynefarms@gmail.com,8 am to 5 pm Monday through Friday
DAAA-H9VR-7HDD,"Jefes II, LLC",Dispensary,"3929 NW 10TH ST, OKLAHOMA CITY, Oklahoma",2024-12-25,73107-6036,(405) 812-0947,jefesokc@gmail.com,M-F 8-5
DAAA-50TO-R7HI,"Jefes., LLC",Dispensary,", OKLAHOMA CITY, Oklahoma",2024-07-06,73109-2304,4058120947,jefesdispensary@gmail.com,M-Sa 9am-9pm
DAAA-VJQI-FWZA,Jeffrey Thomas Spanier,Dispensary,"7926 N MAY AVE, OKLAHOMA CITY, Oklahoma",2025-06-03,73120-4541,(405) 412-3149,tom@tegridymarket.com,"10 am-10 pm (Mon-Sat), 12 pm-6 pm (Sun)"
GAAI-135U-ZVYE,"Jelly Labs, LLC",Grower Indoor,"1408 S Fretz, #2, Edmond, Oklahoma",2024-08-16,73003,(405) 237-8945,info@jellylabs.co,8am-8pm
GAAA-VYR4-EQKQ,Jeni Jane's LLC,Grower,", SAPULPA, Creek",2023-11-22,74066-8170,1 (918) 900-1836,vd.howard05@gmail.com,24 hours daily
DAAA-XRRF-VNA5,Jenitex LLC,Dispensary,"1522 N 4220 Lot#2, Grant, Choctaw",2024-01-09,74738,(469) 793-2803,lindasue1989@gmail.com,8 to 5
GAAA-E19F-YCWH,Jesella LLC,Grower,"3215 E WATERLOO RD STE 100 & 110, Edmond, Logan",2023-07-18,73034,4059990301,jesellagardens@gmail.com,8am-5pm
DAAA-PYBB-YOHG,Jessica Boike,Dispensary,"202 N PINE ST, PONCA CITY, Kay",2023-08-11,74601-4246,5805762424,choicesdispensary@gmail.com,"Monday-Saturday 9am 9pm, Sundays 10pm to 4pm"
GAAA-JYYG-5ILY,"Jett Cultivation, Inc",Grower,", Skiatook, Osage",2024-02-16,74070,(918) 994-2743,jett@jettcultivation.com,N/A
GAAA-HLEA-Z3EQ,Jhames West,Grower,"5611 COUNTY ROAD 1470, ADA, Pontotoc",2023-08-21,74820-0597,5804473515,jhameswest7@gmail.com,9AM-9PM
GAAI-FNC9-LPBK,"Jiang Industries, LLC",Grower Indoor,"17558 S 105TH ST E, WEBBERS FALLS, Muskogee",2024-10-17,74470-6901,3474433069,kk0224jiang@icloud.com,9-5
DAAA-XZ7X-S8IH,Jimbo's Buds & More LLC,Dispensary,", Altus, Jackson",2024-08-29,73521,(580) 471-8932,sbd.jimbos@yahoo.com,9:00 a.m. -10:00 p.m.
DAAA-NKYE-LSQ7,Jimmy W. Risman,Dispensary,"456 N WILSON ST, VINITA, Craig",2023-09-27,74301-2433,9182612848,med.usa.ok1@gmail.com,10am - 8pm Monday -Saturday
DAAA-VKPA-EO5S,"Jim’s Medicinal Marijuana, LLC",Dispensary,"509 NE LINCOLN RD, IDABEL, McCurtain",2024-11-01,74745-8127,(580) 212-5293,carolynroyal197@gmail.com,8 am to 1 Am
GAAA-NKJR-BEO8,"JinYu Green, LLC",Grower,", Fort Gibson, Muskogee",2023-11-01,74434,(918) 973-4160,jinyugreen.ok@gmail.com,24 hours
GAAA-8MXN-ZWLN,Jinshan LLC,Grower,", AGRA, Lincoln",2023-10-25,74824-6351,9173858882,jinshanllc88@gmail.com,8:00-5:00
GAAA-VKPW-GOQT,Joe Alan Collins,Grower,", MANGUM, Greer",2024-03-14,73554-3264,6618898374,joealancollins@gmail.com,7:00pm - 7:00am
DAAA-V1ZO-WUG5,Joe Miranda,Dispensary,"3699 E 2030 RD, FORT TOWSON, Choctaw",2023-07-20,74735-6401,5807986550,risincpr@icloud.com,10:00 AM to 7:30PM
GAAA-U4RF-5MS3,"Joeyk1113, LLC",Grower,", Okarche, Kingfisher",2024-08-28,73762,(248) 260-6075,luckyandgucci@icloud.com,N/A
GAAA-KDI3-XVTF,John Longton,Grower,"1138 BEAR HOLLOW RD, WILSON, Carter",2023-07-14,73463-6800,5806681676,bearhollowfarms@yahoo.com,24/7
DAAA-41CZ-78UK,John Morehead,Dispensary,", HUGO, Choctaw",2025-02-28,74743-4033,5803724606,jackpotacres@yahoo.com,11am-9:00pm
GAAA-NKNK-CQVV,John Wesley Morehead Jr,Grower,"227 N 4340 RD, FT TOWSON, Choctaw",2023-11-03,74735-4800,5803724606,jackpotacres@yahoo.com,10:00 am - 5:00 pm
PAAA-NYX9-K0E8,John Wesley Morehead Jr,Processor,"227 N 4340 RD, FT TOWSON, Choctaw",2023-12-08,74735-4800,5803724606,jackpotacres@yahoo.com,1:00 pm- 3:00 pm
GAAA-DMZZ-EUNJ,John's Green LLC,Grower,", STROUD, Lincoln",2023-09-27,74079-5330,4055133389,pgt16888@gmail.com,10am-5pm
DAAA-RFIR-XMDG,Johnny Appleseed Remedies LLC,Dispensary,"518 E MAIN ST, HENRYETTA, Okmulgee",2023-07-06,74437-4438,9183194026,kareneruth@yahoo.com,Sunday - Saturday 10-10
GAAA-OJJA-KZBP,"Johnson Cannabis Company, LLC",Grower,"21350 N COUNCIL RD, Edmond, Oklahoma",2023-05-29,73012,4058338090,unclemikie44@yahoo.com,9 am - 5pm
PAAA-4MUB-5ZJ6,"Johnson Cannabis Company, LLC",Processor,"21350 N Council Rd, Edmond, Oklahoma",2023-12-28,73012,(405) 833-8090,unclemikie44@yahoo.com,N/A
GAAA-V3BI-4BAL,"Johnson and T, LLC",Grower,", ADAIR, Mayes",2024-05-23,74330-3273,(929) 362-8589,adair1855@hotmail.com,9-5
GAAA-4JBW-QLCL,"Joint Venture Holdings, LLC",Grower,", McAlester, Pittsburg",2022-12-06,74501,4052192123,jvholdings3@gmail.com,9:00-5:00
GAAA-G5DR-WDV0,Jojo Bagginz llc,Grower,"5505 Dentonville road, Beggs, Okmulgee",2024-03-27,74421,(918) 844-5855,jojobagginzz@gmail.com,N/A
TAAA-NTDU-CFRU,Joka Distribution LLC,Transporter,", MOORE, Cleveland",2024-05-03,73170-7496,4054127851,kwadwo20@gmail.com,8am-6pm
PAAA-Y4S2-NDUP,Joka Distribution LLC,Processor,", moore, Cleveland",2024-05-23,73160,(405) 412-7851,kwadwo20@gmail.com,10a-6p
DAAA-EKFV-BQ4X,"Joka Holdings, LLC",Dispensary,", Cartwright, Bryan",2024-10-21,74731,5806912005,kwadwo20@gmail.com,9-9 mon-thurs 9-10 fri & sat 11-6 sun
DAAA-N1KZ-AGIB,"Joka Holdings, LLC",Dispensary,", MOORE, Cleveland",2024-10-02,73160-1708,(405) 735-5735,kwadwo20@gmail.com,10a-10p
GAAA-ME7Z-EPSQ,Jonathan Bennett,Grower,"5301 W SHAWNEE AVE, MUSKOGEE, Muskogee",2023-09-27,74401-1100,9183108348,triplebfarmsok@gmail.com,8:00 - 5:00
DAAA-EEQT-QO42,Joseph Wario-Garcia LLC,Dispensary,"3414 Nw Cache Rd Suite C, Lawton, Comanche",2025-11-09,73505,5806954702,greentogold215@gmail.com,9am-10pm
GAAO-VJVU-YLDH,Josh Shaefer,Grower Outdoor,", OKLAHOMA CITY, Oklahoma",2024-11-10,73150-6515,4054028759,joshshaefer@gmail.com,6 am to 10 pm
GAAA-6LRT-MZAN,Joshua Isom,Grower,"11380 203RD ST, BLANCHARD, McClain",2024-05-23,73010-9602,(405) 640-8778,gemini@coxinet.net,
GAAA-P1IK-BRP8,Joshua Len Martin LLC,Grower,"22359 N County Road 3100, Elmore City, Garvin",2024-04-24,73433,(479) 392-3162,liang22359@gmail.com,9am-5pm
GAAA-XBDE-NO37,"Joshua Tree Farms, LLC",Grower,"23507 North COUNTY ROAD 3400, ROFF, Garvin",2024-09-26,74865-6710,5802470279,joshuatreefarms61@gmail.com,8AM-4PM
GAAA-SIEW-NOTM,Jr's Skunkworks LLC,Grower,", Jay, Delaware",2023-05-11,74346,9186386293,ohpbaker293@yahoo.com,9am - 5pm
GAAA-4JTI-WJWR,Jt Genetics llc,Grower,", SAND SPRINGS, Tulsa",2024-02-10,74063-5973,(918) 306-9983,jtgenetics@gmail.com,8-12
GAAI-EAPJ-QQGP,"Jubel, LLC",Grower Indoor,", TULSA, Tulsa",2024-09-26,74145-6306,4797995252,luke@jubelexotics.com,8am - 5pm
GAAI-4J35-KPF5,"Jubel, LLC",Grower Indoor,", TULSA, Tulsa",2024-07-28,74145-4801,4797995252,info@jubelexotics.com,8am - 5pm
PAAA-LZHW-N7G0,"Jubel, LLC",Processor,", Tulsa, Tulsa",2024-11-10,74145,(479) 799-5252,luke@jubelexotics.com,8am - 5pm
GAAA-H93Q-SIN5,JuicePatrol LLC,Grower,"700 North Main Street, Lexington, Cleveland",2024-01-23,73051,(510) 856-7659,flawlessfarmsinc@gmail.com,N/A
PAAA-TQ6W-Q8LW,JuicePatrol LLC,Processor,"700 n main st, lexington, Cleveland",2024-01-23,73051,(510) 856-7659,flawlessfarmsinc@gmail.com,N/A
DAAA-4UZP-OZ34,JuicePatrol LLC,Dispensary,"700 n main st, lexington, Cleveland",2025-01-23,73051,(510) 856-7659,joey@juicepatrolfarms.com,N/A
GAAA-NJWJ-UFNW,Julia Shoua Vang,Grower,"51371 S. 679 Rd, Colcord, Delaware",2024-02-01,74338-4719,(918) 226-1229,jvyang38@outlook.com,1:00p.m-3:00p.m
GAAA-Y0NA-WTIH,Julies Happy Grow LLC,Grower,", CUSHING, Lincoln",2023-10-19,74023,9168027820,mikephulu@yahoo.com,8a-5p
PAAA-O9RQ-DKEJ,Jump N Bean Pharms Family Processing LLC,Processor,"562 Shannon Road, McAlester, Pittsburg",2024-03-16,74501,1 (918) 916-1412,jumpnbeanpharms@yahoo.com,N/A
GAAA-NYNI-MTVD,"Jump-n-Bean Pharms, LLC",Grower,"562 SHANNON RD, MCALESTER, Pittsburg",2023-10-16,74501-1032,9189161412,jumpnbeanpharms@yahoo.com,M-F 8-5
DAAA-VKQ6-XSDE,"Jun Green, LLC",Dispensary,", Oklahoma City, Oklahoma",2024-09-20,73120,(573) 818-4205,jungreenllc@outlook.com,M - F 10:00 a.m. to 4:00 p.m.
GAAI-EJQO-2XOF,"Jun Green, LLC",Grower Indoor,", MUSKOGEE, Muskogee",2024-09-06,74401-7532,(573) 818-4205,jungreenllc@outlook.com,M - F 10:00 a.m. to 4:00 p.m.
GAAA-XZM8-VV3S,Jungle Family LLC,Grower,"4700 Thunder lane Ave, Noble, Cleveland",2023-09-15,73068,(405) 642-3310,junglefamilyok@gmail.com,11-5
GAAA-BQOA-QIVT,Jupiter LLC,Grower,"29193 E 790 RD, crescent, Kingfisher",2024-01-06,73028,(580) 559-3988,jupitergrower@gmail.com,N/A
DAAA-3OLH-PHHR,Just Another Bowl Inc,Dispensary,"10922 S MEMORIAL DR, TULSA, Tulsa",2023-08-18,74133-7352,9188295552,bdriskill@jivecannabisco.com,10:00AM-8:00PM Mon-Sat
GAAA-S5MI-GJCU,"Just Karma, LLC",Grower,"16100 Holt Road, Skiatook, Osage",2023-09-20,74070,(808) 463-6387,dspringer918@gmail.com,Mon-Friday 8-5
DAAA-7A6F-IUFC,"Just Weed, LLC",Dispensary,"115 West Main Street, Wilburton, Latimer",2023-09-30,74578,(918) 917-3517,aarondeering@me.com,8-5
PAAA-T5RT-5EFO,"Justus Farms, LLC",Processor,", Tecumseh, Pottawatomie",2024-02-01,74873-6410,(619) 770-0092,justusgrow@gmail.com,9am-5pm
GAAA-DM4O-EB5M,"Justus Farms, LLC",Grower,"23147 E Hill Dr, Tecumseh, Pottawatomie",2023-03-08,74873-6410,(619) 770-0092,justusgrow@gmail.com,9am-5pm
DAAA-NK0S-3ZXL,K & K Enterprises LLC,Dispensary,"8355 N OWASSO EXPY, OWASSO, Tulsa",2024-01-10,74055-2178,9184014244,broadleafoils@gmail.com,9-10 Mon-Thur Fri 10-12 midnight Sat 10-12 midnight
GAAA-GFCB-OSBW,K and Y Enterprise LLC,Grower,"7865 HORNBEAM RD, HENRYETTA, Okmulgee",2023-12-11,74437,9176508881,kandyenterprisellc@gmail.com,9AM - 5PM
GAAA-ALUR-1X39,"K-FARM, LLC",Grower,", VINITA, Craig",2024-04-20,74301,(612) 964-5657,kfarmllc22@gmail.com,M-F 9-5 or as needed for grow operations
GAAA-EYVX-HRDL,"K.A.W., LLC",Grower,", CLAREMORE, Rogers",2023-10-18,74017-0743,9186301119,denise@mastercraftfc.com,9am - 4pm
PAAA-EUV3-9EE3,K.O.C EXTRACTIONS LLC,Processor,"8200 CEDAR LN, EDMOND, Logan",2023-05-24,73034,1 (808) 778-2403,islandfarmers1@gmail.com,10am - 4pm m-f
GAAA-YJYL-AX6B,K.O.C. FARMS LLC,Grower,"8160 N NOBLE DR, EDMOND, Logan",2023-12-19,73034-8277,(707) 686-8689,bluexlab@gmail.com,24
GAAA-VKRO-2IZD,KBG Farms llc,Grower,"21023 Jimbo Road, Thackerville, Love",2024-03-07,73459-0379,9406008870,rrrshade@aol.com,24 hours
GAAA-NTU9-RXDQ,KBHN LLC,Grower,"8585 ENTERPRISE Ave, NOBLE, Cleveland",2023-09-21,73068,4054269926,licenseandpermit@gmail.com,7am -9pm
GAAI-RCWH-B8AG,KBMC Green LLC,Grower Indoor,", MIAMI, Ottawa",2024-11-06,74354-4708,(917) 690-3699,meixia19751004@gmail.com,9am-5pm
DAAA-MLPN-BRAJ,KBNS INC,Dispensary,"300 S MAIN ST, MCALESTER, Pittsburg",2024-03-15,74501-5438,9184209671,nacho74501@yahoo.com,9AM -7PM
GAAA-41KM-QZZK,KBNS INC.,Grower,"304 South Main Street, Mcalester, Pittsburg",2023-10-10,74501,9184209671,kbnsinc@gmail.com,9 am - 9 pm
DAAA-NYPQ-VCBZ,KC GREEN BUD LLC,Dispensary,"2020 NW 150TH ST STE C, OKLAHOMA CITY, Oklahoma",2023-12-27,73134-2004,4058876183,parvinmomtaz7719@gmail.com,10 AM TO 10 PM
DAAA-4YJP-P59N,"KCS, LLC",Dispensary,"2400 12TH AVE NE, NORMAN, Cleveland",2023-04-26,73071-6841,4058572818,norman2400@topshelfbotanicals.com,11 AM to 8 PM
DAAA-VY5S-OIJ6,KD Ventures LLP,Dispensary,"4208 SW 149TH ST, OKLAHOMA CITY, Cleveland",2025-03-22,73170-9749,4056768859,thefarmacyon149@gmail.com,Open 24 Hour - 7 Days a Week
DAAA-XDNL-ET0E,KEDARNATH LLC,Dispensary,"1028 N MACARTHUR BLVD SUITE A, OKLAHOMA CITY, Oklahoma",2025-05-12,73127-5612,(405) 768-4396,okc10dispo@gmail.com,10AM-9PM
DAAA-9YLD-HU6F,KEDARNATH LLC,Dispensary,"1440 W BRITTON RD, OKLAHOMA CITY, Oklahoma",2025-04-10,73114-1308,(405) 849-9312,okc10dispo@gmail.com,10:00 a.m. - 10:00 p.m. Monday - Sunday
DAAA-MHCS-MW9X,KEDARNATH LLC,Dispensary,"12933 NE 23RD STREET, NICOMA PARK, Oklahoma",2024-08-11,73020,(405) 987-0549,okc10dispo@gmail.com,10AM-9PM
DAAA-OQ0N-XG7I,KEDARNATH LLC,Dispensary,"6001 S Shields Blvd, Oklahoma City, Oklahoma",2025-02-01,73149,(405) 651-1414,okc10dispo@gmail.com,10AM-9PM
DAAA-FR6G-Q1V7,KEDARNATH LLC,Dispensary,"1606 S Division St, Guthrie, Logan",2025-02-01,73044,(405) 877-3085,okc10dispo@gmail.com,10AM-9PM
DAAA-29O6-BX7V,KESH 3 LLC,Dispensary,"3301 N MAY AVE, OKLAHOMA CITY, Oklahoma",2024-09-22,73112-6903,(248) 961-6160,kevin@mangocannabis.com,"Sun-Thurs, 10am-10pm; Fri-Sat, 10am-12am"
GAAI-RJES-BDVC,KEYSTONE GREENS LLC,Grower Indoor,"369505 E 5450 RD, CLEVELAND, Pawnee",2024-09-15,74020-6933,9187299380,keystonegreenllc@outlook.com,9AM TO 5PM
DAAA-G5EN-FFNV,KFK LLC,Dispensary,"4500 S SUNNYLANE RD, OKLAHOMA CITY, Oklahoma",2024-08-12,73135-2100,(405) 979-0536,kforkushok@gmail.com,
DAAA-Q6YE-7Y4O,KFK PENN LLC,Dispensary,"1101 North Pennsylvania Avenue, Oklahoma City, Oklahoma",2024-05-02,73107,(405) 979-0536,xebirokr@gmail.com,10am-10pm Mon-Sat 12am-6pm Sun
DAAA-C9PF-QIQ2,KFK PORTLAND LLC,Dispensary,"3123 North Portland Avenue SUITE A, OKLAHOMA CITY, Oklahoma",2024-05-05,73112,4059790536,kforkushok@gmail.com,11AM-10PM
DAAA-HELI-IFXV,KG Chickasha LLC,Dispensary,"828 S 4TH ST, CHICKASHA, Grady",2025-05-10,73018-4631,4056660999,masonbrianne3@gmail.com,10-10
PAAA-ALHZ-ASPE,"KHHK, LLC",Processor,"4133 South 87th East Avenue, Tulsa, Tulsa",2023-12-29,74145,(918) 406-0799,khhkextracts@protonmail.com,N/A
DAAA-9PSA-U0ZR,KILLA BUZZ PREMIUM DISPENSARY LLC,Dispensary,"35392B HIGHWAY 29, PAULS VALLEY, Garvin",2023-11-15,73075,(405) 594-8123,thekillabuzzdispo@yahoo.com,MON-THURS 9AM - 9PM FRIDAY 9AM-10PM SATURDAY 9AM -10PM SUNDAY 12PM -5PM
GAAA-D4ZG-4EVO,KIMBA'S GROW INC,Grower,", WASHINGTON, McClain",2024-03-16,73093,(407) 300-0196,kimbamy@yahoo.es,
