FirstName,LastName,Company,Title,Socials,Website,Biography
Basim,Habib,Preqin,Head of Middle East Research,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/basim-habib-624b678a/'}",{},"‘’ Basim spearheads the Middle East Research function at Preqin. Within his role, Basim is responsible for data coverage growth of investors and fund managers across Private Equity, Venture Capital, Real Estate and Private Debt based out of Preqin’s Dubai office.Previously, Basim assumed the role of Vice President at the Investbridge Group’s Global Alternatives and Distribution division, serving as a senior client contact for regional institutional investors. In addition, Basim was responsible for keeping up with regulatory and macroeconomic developments on the regional alternative funds industry, while working closely with the investment team in sourcing and distributing of niche and uncrowded investment opportunities. Prior to joining the Global Alternatives division, was responsible for the monitoring and oversight of investment transactions for the group’s fund platform division, executing due diligence on incoming funds, and ensuring smooth running of operations as the fund platform’s operator. Basim began his career as a Consultant at Deloitte’s Financial Risk and Regulatory Advisory team, where he was responsible for developing bespoke risk and control matrices, and executing organizational wide risk assessments for regional/global financial institutions and investment houses.Basim holds a BA in Business Management from the Sawyer Business School at Suffolk University, Boston, MA, United States'‘"
Yalda,Aoukar,Bracket Capital,Co-Founder and Managing Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/yaldaaoukar'}",{},"Yalda Aoukar is the Co-Founder and Managing Partner of Bracket Capital, a leading private markets investor based in Los Angeles with a focus on outsized returns in best-in-class ‘later-stage’ technology companies. Bracket Capital invests via Primary and Secondary transactions, capitalizing on the asymmetries and dislocations that exist in this emerging asset class. Yalda is also the President of Bracket Foundation, the philanthropic venture arm of Bracket Capital. She is a fierce advocate of technology for social good especially as it relates to solving the world’s most pressing global challenges. In 2019, Bracket Foundation issued a leading publication on how Artificial Intelligence can combat online abuse of children. The publication was presented on the sidelines of the United Nations General Assembly that same year and resulted in a multi-year partnership with UNICRI (the United Nations Interregional Crime and Justice Research Institute). In 2022, Bracket Foundation published the sequel of its initial whitepaper which explores the dangers and vulnerabilities on children of the Metaverse and Online Social Gaming Platforms. Yalda is a champion for women’s empowerment and entrepreneurship in Venture Capital and other financial sectors, where women are traditionally underrepresented. In addition to investing in leading technology companies, she serves as an adviser to governments and policy makers on digital development in diverse fields such as Biotech, Food Security, Artificial Intelligence Integration and Education Technology. She sits on the board of the United Nation’s AI for Safer Children Initiative, as well as the World Innovation Summit for Education (WISE) Accelerator. Yalda holds a Master in Public Policy (MPP) from the Harvard Kennedy School of Government. Yalda spends her time between London, Los Angeles and the Middle East with her husband and three children."
Daniel,Roberts,Iris Energy,"Co-Founder, Co-CEO and Director","{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Daniel has over 20 years’ experience across finance, infrastructure and renewables. He previously exited as the 2nd largest individual shareholder in infrastructure fund manager, Palisade Investment Partners ($6bn AUM across 23 businesses) and, prior to that, worked with Macquarie Capital and PwC across Sydney and London. Daniel is currently on the board of JOLT, a Blackrock-backed EV charging business where he is also the 2nd largest individual shareholder. His Bitcoin journey began in 2013/14 when he bought high and sold low and then went on to co-found Iris Energy with his brother, Will Roberts, in 2018."
Henny,Sender,"Former Managing Director, BlackRock","Former Journalist, FT & WSJ","{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/henny-sender-42b21034'}",{},"Henny Sender served as a managing director at BlackRock for two years as a Senior Advisor to the Executive Office in Asia, advising the firm on opportunities in Asia, with a particular emphasis on alternative investment strategy in the Asian region, given her deep relations with the leading private equity and venture capital firms there. While in Hong Kong from November 2020, to August of 2021, she engaged in extensive dialogue with BlackRock's clients in the region, including sovereign wealth funds, central banks and pension funds, and leveraged her contacts with leading venture capitalists to focus on China, sustainability and private markets.Since the end of last year, she has become a consultant and adviser to the executive office in New York, has advisory relations with other financial firmsand maintains an arms length relationship with BlackRock.Ms Sender is particularly focused on China and India, the two dominant markets in Asia, living most of the last thirty years in Hong Kong and the five years before that in Tokyo.Before joining BlackRock, Ms Sender spent her entire career in journalism, and has decades of experience covering finance and economics in Asia serving as Chief Correspondent for International Finance with The Financial Times. Henny was with the Financial Times for 13 years, spending her time between New York and Hong Kong. For the 15 years prior to that, she was at Wall Street Journal as a Senior Special Writer in the Money and Investing section and the Far Eastern Economic Review (which was also owned by Dow Jones). Prior to moving to Hong Kong 1992, she was based in Tokyo for five years as Asian Bureau Chief for Institutional Investor.Ms Sender completed a PhD in Indian History at the University of Wisconsin, detailing Hindu-Muslim relations in the period before Partition. Her work was then the basis of a book published by Oxford University Press. She had studied Chinese at Wisconsin but switched her focus to South Asia as it was difficult then to study on the mainland, whereas India offered ample opportunity for onsite research. She also earned a master's degree in journalism at Columbia University.Ms Sender is  a member of the Council on Foreign Relations"
Elizabeth,Di Cioccio,KKR,Managing Director & Head of Middle East,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://ae.linkedin.com/in/elizabeth-di-cioccio-6556772'}",{},"Elizabeth Di Cioccio (Dubai and Riyadh) joined KKR in 2020 and is a Managing Director in the Client and Partner Group where she leads the Firm's client business in the Middle East. Prior to joining KKR, Ms. Di Cioccio was a partner and head of international distribution at Mercury Capital Advisors, where she was based in Dubai and focused on capital raising in the Middle East, parts of Europe, and Australia. She started her career in fundraising in 2005 within Merrill Lynch's fund placement group in London (which later became Mercury Capital Advisors). Ms. Di Cioccio holds a B.A., Phi Beta Kappa, Summa Cum Laude from Middlebury College."
Miriam,Kiwan,Circle,"Vice President, MENA","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/miriamkiwan/?originalSubdomain=ae'}",{},"Miriam Kiwan is Vice President of MENA at Circle, a global financial technology company helping money move at internet speed, with a mission is to raise global economic prosperity through the frictionless exchange of value.Prior to this, Miriam led Digital Assets and tech ecosystem development at Abu Dhabi Global Market (ADGM). She held various strategic roles within the technology, financial services and nonprofit in the UAE and Europe. She holds a Global EMBA from TRIUM, a joint program between London School of Economics, New York University and HECParis."
Andy,Tang,Draper Associates,Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Andrew Tang is a partner at Draper Associates, investing in early-stage technology companies and assisting with their business development, particularly international market entry strategy and partnerships. He also serves as Chair of the Executive Committee at Draper University, which is an incubator and entrepreneurship education program located in Silicon Valley. In his spare time, he teaches finance and fundraising classes to student entrepreneurs.Andy has over 20 years of operating, research and development, investment banking, and investing experience in the high-tech space. In his career, Andy has seeded 10 unicorns. He co-founded DraperDragon Fund in 2006 to focus on cross-border investing. He has led digital investments in companies such as 1047 Games*, VeChain*, Ledger*, Coinbase, QTUM*, OASIS*, IOTEX*, Sheeld, Maker’s Place, Splashtop*, Yeepay, Jin Jing Electric Motors*, Alto Beam, Vicarious Artificial Intelligence*, Broadbus (MOT), Unstoppable Domains, and CoinDCX. Similarly, he led digital healthcare investments in Clinchoice*, EDDA*, Atomwise, Verge Genomics, Ten63 Therapeutics, CloudMedx, Imprimed, and Pretty Litter, to name a few.Prior to starting up his own fund, he was a partner and member of the investment committee at ABB Technologies Ventures and Infineon Ventures. Before his venture career, he was an investment banker with Credit Suisse First Boston’s technology group in Palo Alto, where he worked under Frank Quattrone and George Boutros on the Magma IPO (SNPS) and Cyras (CIEN) acquisition. Before joining Credit Suisse, Andy was a senior engineer and marketing manager at Intel and was responsible for chip design and market enabling for Pentium and Itanium processors.Andy grew up in Taiwan and moved to Arlington, Texas, at age 13. He completed his undergraduate degree in electrical and computer engineering at The University of Texas at Austin, earned a master’s degree in electrical engineering and computer science from MIT under the supervision of President Rafael Reif, and received an MBA from the Wharton School of the University of Pennsylvania. He holds a U.S. patent in silicon germanium thin film materials. Andy was awarded as a Distinguished Young Alumni by Governor Greg Abbott on behalf of The University of Texas at AustinAndy currently resides in Menlo Park, California, with his wife Emily and their two sons. Andy is an avid skier, and meditation practitioner."
David,Gan,OP Crypto,Founder & General Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/davidgancheng'}",{},"David is the Founder and General Partner at OP Crypto, a venture capital fund that invests in the most promising blockchain entrepreneurs.Prior to founding OP Crypto in 2021, David served as a senior executive at Huobi Global for three years. He was the Senior Investment Director of Huobi Capital, Managing Director of Huobi Labs and Director of Strategy within the CEO’s Oﬀice. David also has experience at top traditional firms including Qiming Venture Partners (Tier 1 $6bn AUM VC in China) and Morgan Stanley China (Investment Banking Division-M&A). David is also a serial entrepreneur (successfully exited event based social networking app) and was recognized for the 2019 Forbes 30 Under 30 Asia award."
Srinu,Chowhan,BitOasis,VP Marketing & Growth,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/srinu-growth-marketing'}",{},"Srinu Chowhan joined BitOasis in 2021 to lead the company’s marketing & growth initiatives. He joined the team with the objective to drive crypto adoption in the MENA region and beyond, which lined up perfectly with the BitOasis team’s vision to build a region-wide crypto ecosystem that will help revolutionize the financial industry and enable financial freedom for all.Srinu has been working in the crypto space since 2017. He has a proven track record of driving growth and helping scale businesses over his decade-long career in digital marketing."
Navin,Gupta,Ripple,"Managing Director, South Asia & MENA","{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/navingupta2'}",{},"Navin Gupta is Managing Director for South Asia and MENA region for Ripple. Navin joined Ripple following two years as Co-Founder and CEO of on-demand commercial transportation service. Navin has extensive experience in global transaction banking, payments and cash management, and strategy planning following nearly two decades working for HSBC and Citigroup across the U.S., Hong Kong, Japan, Taiwan, and India. Navin served as board member of National Payments Corporation of India (NPCI) from 2011 to 2014. In 2008, he was recognized as one of ""The 50 Most Promising Young Leaders"" in Asia-Pac by The Asian Banker. Navin is a MBA graduate from the Thunderbird School of Global Management in Arizona. Navin is also an Art of Living teacher."
Stephen,Roach,"Former Chief Economist and Asia Chairman, Morgan Stanley","Senior Fellow, Paul Tsai China Center of the Yale Law School","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/stephen-roach-39b3a798/'}",{},"Stephen Roach is currently a Senior Fellow at the Paul Tsai China Center of the Yale Law School.  He joined the Yale faculty in 2010 after thirty years at Morgan Stanley, mainly as the firm’s chief economist heading up a highly regarded global team followed by several years as the Hong Kong-based Chairman of Morgan Stanley Asia.  A rare combination of thought leadership on Wall Street and academia places Stephen Roach in the unique position as a leading practitioner of analytical macroeconomics.  A forecaster by training in his early days as a Fed economist, Stephen Roach has long been mindful of the perils of historical extrapolation.  As seen through that lens, his vision of the “Next China” grew out of this deep respect for the past as a template for the exciting but daunting possibilities of China’s uncertain future. Roach’s focus on the US-China relationship is an outgrowth of the interplay between two major strands of his professional experience—a leading US economist and an influential analyst of a rising China.  Roach’s analyses and opinions on China, the United States, and the global economy have long helped to shape policy debates from Beijing to Washington.A passionate teacher, Roach has drawn on his rich experience and developed popular new courses at Yale on Asia — notably ""The Next China"" and ""The Lessons of Japan.""  His prolific writings include Accidental Conflict: America, China, and the Clash of False Narratives (November 2022) and Unbalanced: The Codependency of America and China (2014). His work has also appeared in academic journals, congressional testimony and has been disseminated widely in the domestic and international media. His commentary is published regularly on Project Syndicate’s global, multi-lingual platform.  Following his long career on Wall Street, Stephen Roach was the first senior fellow to join the faculty of Yale University’s Jackson Institute of Global Affairs at its inception in 2010 and remained in that capacity until 2022; over that period, he was also a Senior Lecturer at Yale’s School of Management.  He joined Yale Law School’s Paul Tsai China Center in 2022.Prior to joining Morgan Stanley in 1982, Roach served on the research staff of the Federal Reserve Board and was also a research fellow at the Brookings Institution. He holds a Ph.D. in economics from New York University. Mr. Roach is a member of the Council on Foreign Relations, the Investment Committee of the Metropolitan Museum of Art, the Economics Advi"
Shaun,Lim,Hopu-Arm Innovation Fund,Co-Head & Managing Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/shaun-lim-b5b61a1'}",{},"Mr. Shaun Lim is Managing Director and Co-Head of Hopu Arm Innovation Fund, a private equity fund set up jointly by Hopu Investments and Arm Technologies (Softbank subsidiary), backed by some of the world’s largest sovereign wealth funds and financial institutions, to invest in deep technology opportunities globally. He is a member of the fund’s Investment Committee that oversees the investment activities of the Fund. • Mr. Lim has close to 20 years’ experience in private equity, investment banking and finance, having worked in London, New York, Amsterdam, Singapore and Hong Kong.  He was previously with Blackstone, Bank of America Merrill Lynch and ABN AMRO private equity. Mr. Lim also founded NBF Capital, a family office platform specializing in technology investments, as well as P3 Innovation, the innovation arm of HK-listed Pico Group where he led the setup of two technology startups for Pico Group in China and served as CEO。 • Mr. Lim is from Singapore.  He obtained a Bachelor's degree in Economics (First Class Honours) from the London School of Economics and Political Science."
Carol,Pepper,Pepper International,CEO & Founder,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Pepper International is a highly respected firm that has received significant recognition in the financial services industry: • Carol has been nominated as Power Woman North America for 2020 by Citywealth UK. • In 2019, Carol received the Bronze award of Power Woman of the Year North America by Citywealth in the United Kingdom.  • In 2017, Pepper International was named Boutique Firm of the Year Award by STEP (Society of Trust and Estate Planners).   • In 2017, Citywealth in the UK named Carol one of the Top 50 CEOs in Wealth Management and a Power Woman.  •  In 2017, Pepper International was nominated for three PAM Private Asset Management Awards in the US:  Best Outsourced CIO Solution, Best Family Office Consultant and Best MFO for Client Service under $2 Billion in AUM.   • In 2016 and 2015, Carol was named one of the 50 Most Influential Women in Private Wealth by Private Asset Management.  • In 2014, 2012 and 2011, Pepper International was nominated for Private Asset Management awards for Best MFO with AUM under $2.5 billion.   • In 2009, Barron’s named Pepper International as one of the top family offices in the United States.   • In 2007, Carol was named a Rising Star in Wealth Management by Institutional Investor."
Cathryn,Chen,MarketX Ventures,Founder & GP,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/cathrynchen/'}",{},"With 13 years of experience investing across the US and Asia, Cathryn Chen founded MarketX Ventures in 2015 to be a maiden cross-border investment platform that connects global investors with private tech opportunities around the globe. She has facilitated more than $250 million in primary and secondary investments for more than 300 family offices, funds, and high net worth individuals. Cathryn began her investment career at Deutsche Bank, Rothschild in London, and J.P. Morgan in Hong Kong, where she contributed to dozens of IPOs and private placements including Alibaba and Xiaomi. Prior to the Twitter and Alibaba IPOs, she witnessed firsthand the pent-up demand for pre-IPO shares that led her to create MarketX Ventures. Cathryn also worked at EverString, an adtech startup backed by Lightspeed Partners and Sequoia Capital that brings predictive analytics to the sales and marketing teams of Fortune 500 enterprises. One of Forbes 30 under 30 boasting University of California, Los Angeles and The London School of Economics and Political Science pedigree, she regularly speaks at global industry events including SALT in Abu Dhabi, Finovate Europe, and the Women’s Forum Global Meeting in Paris, where she was selected as one of 2020’s “12 women to watch”."
Tony,Dong,OP Crypto VC,Principal,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/company/op-crypto/'}",{},"Tony Dong is the Head of Capital Formation and Business Development at OP Crypto, the parent company of OP Venture Fund and OP Fund of Funds. Tony has an undergraduate degree from the University of Southern California and an MBA from Columbia Business School.In 2021, Tony led fundraising efforts for OP Crypto’s Venture Fund I. A fund that seeks to invest in projects that it believes will help shape the future of corporate governance and transfer power from centralized entities to content creators in the upcoming Web 3.0 ecosystem. With $50M in inaugural fund backed by Bill Ackman, Animoca Brands, Huobi Ventures, Galaxy Digital’s Vision Hill FoF Platform, Digital Currency Group, Mirana Ventures (Bybit), and The Brooker Group, OP Crypto aims to support entrepreneurs seeking to build global products in the blockchain space. Since launch, the fund has built a portfolio of star projects including Merit Circle, Aurory, and Avalanche.In addition to the venture fund, OP Crypto is also launching its first fund of funds - OP FoF in Q2 2022 that will seek to make strategic investments in emerging fund managers and Venture DAOs.Prior to OP Crypto, Tony served as the business development lead at US Bitcoin Corp, a U.S. based bitcoin mining company. During his time at US Bitcoin, Tony played a key role in scaling the company including building relationships with the largest energy companies in the world as well as securing a 300MW site in West Texas."
JT,Law,IVC Fund,Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://www.linkedin.com/in/jorlaw88'}",{},"JT is Partner at IVC (Infinity Ventures Crypto), a leading blockchain venture capital fund with 200 investments in blockchain games, Web 3, fintech/defi, and infrastructure.  He is excited to invest in and help grow the next generation of Web3 and Web2 companies to achieve results and impact.  JT is co-founder of VerifyInvestor.com, the dominant accredited investor verification service. VerifyInvestor.com was acquired by tZERO, a leader in blockchain innovation for capital markets.JT was an investment banker at Credit Suisse, Morgan Stanley, and Citigroup in New York, London, and Hong Kong, where he managed transactions in equity and debt capital raising, mergers, and acquisitions.  JT was an Investment Committee member of GF Investments (GF Securities affiliated private equity fund).  JT’s investment and advisory transactions covered technology, education, media, and manufacturing companies that culminated in IPO and sale exits in US, China, and Hong Kong.  JT received his BS from the Wharton School, University of Pennsylvania and MBA from Columbia Business School."
Quynh,Ho,GSR,"VP, M&A and Investments","{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/quynhho'}",{},"Quynh Ho is VP, M&A and Investments at GSR, a global leader in crypto trading and investment. Quynh invests in early stage Crypto and Web 3 companies, develops relationships with the crypto community, founders and VCs, and evaluates strategic opportunities. Prior to this role, she was an investment banker and spent over eight years at Houlihan Lokey, focusing on Technology and Fintech M&A. She executed over $12bn worth of cross-border M&A transactions across Europe, US, and Asia. She was one of the first bankers to focus on crypto in 2017, working with large crypto clients on M&A and investment deals. Originally Vietnamese, she came over to the UK under a scholarship and holds a Business degree from University of Bath. She was a founding member of a Southeast Asian education startup focusing on empowering young adults and university students with business skills."
James,Reeve,Jadwa Investment,Chief Economist,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"James Reeve is Chief Economist at Jadwa Investment, a private investment bank headquartered in Riyadh. His primary focus is Saudi Arabia’s macroeconomic situation and outlook, though having spent time as an Advisor at the Ministry of Investment, he also closely follows the structural changes underway in the economy. Earlier, James was Chief Economist at Samba Financial Group prior to its merger with National Commercial Bank. James has also worked for the Institute of International Financial (IIF) in Washington, DC, where he analysed macroeconomic and financial sector developments in a range of MENA countries. The early part of his career was spent at the Economist Intelligence Unit (EIU) in New York and London, and Chatham House, a London-based think tank. He holds a Masters’ degree in Development Economics from SOAS, London University, and a BA from Manchester University."
Serge,Lépine,Cabot Capital Partners,Co-Founder and Managing Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://www.linkedin.com/in/serge-lepine'}",{},"Serge is the co-founder and Managing Partner of Cabot Capital Partners (“CCP”), a Singapore-based registered fund management company.  CCP focuses on private markets advising Family Offices and Institutions on portfolio construction and direct investments primarily in Asia.  Previously, Serge has worked with sovereign wealth funds in the Middle East, Asia and Canada.  In the Middle East, Serge was latterly the founding CEO of QADIC, a US$2bn global investment platform jointly funded by Qatar Investment Authority and Mubadala; Chief Investment Officer for Mumtalakat (Bahrain) and had been appointed to senior roles at the Abu Dhabi Investment Authority (ADIA) and the Abu Dhabi Investment Council (ADIC) establishing the co-investment and direct investment business units respectively.Before relocating to the Gulf in 2004, Serge had been based in Asia since 1996 establishing the initial private equity operations of the Caisse de Dépot et Placement du Québec (CDPQ).  Serge’s early career encompassed working in Montreal for CDPQ as well as other leading Canadian financial institutions, focused on direct investment, mergers and acquisitions advisory and corporate finance."
Bill,Qian,Cypher Capital,Chairman,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Before joining Cypher Capital, Bill Qian was the Global Head of Fundraising for Binance Labs and M&A for Binance ‒ the largest global crypto platform holding 55% of the global market share, with $34 trillion in transactions in 2021. Joining the Cypher Capital Team in late 2022, Bill sees himself as a “web-native investor” looking for phenomenal founders in the Web 3.0 industry."
Nouriel,Roubini,"Chief Economist,  Atlas Capital Team L.P.","Chairman, Roubini Macro Associates","{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/nourielroubini'}",{},"Nouriel Roubini is CEO of Roubini Macro Associates, LLC, a global macroeconomic consultancy firm in New York.  He is also Chief Economist for Atlas Capital Team LP, as well as Co-Founder of Rosa & Roubini Associates.   At a 2006 address to the International Monetary Fund, Roubini warned of the impending recession due to the credit and housing market bubble. His predictions of these upside-down balance sheets became a reality in 2008, with the bubble bursting and reverberating around the world into a global financial crisis lasting well into the next decade.   Dr. Roubini has extensive policy experience as well as broad academic credentials. He is Professor Emeritus (2021-present), Professor of Economics (1995-2021), Stern School of Business, New York University.  He was Co- Founder and Chairman of Roubini Global Economics from 2005 to 2016 – a firm whose website was named one of the best economics web resources by BusinessWeek, Forbes, the Wall Street Journal and the Economist. From 1998 to 2000, he served as the senior economist for international affairs on the White House Council of Economic Advisors and then the senior advisor to the undersecretary for international affairs at the U.S. Treasury Department, helping to resolve the Asian and global financial crises, among other issues. The International Monetary Fund, the World Bank and numerous other prominent public and private institutions have drawn upon his consulting expertise.   He has published numerous theoretical, empirical and policy papers on international macroeconomic issues and coauthored the books “Political Cycles: Theory and Evidence” (MIT Press, 1997) and “Bailouts or Bail-ins? Responding to Financial Crises in Emerging Markets” (Institute for International Economics, 2004) and “Crisis Economics: A Crash Course in the Future of Finance” (Penguin Press, 2010). Dr. Roubini’s views on global economic issues are widely cited by the media, and he is a frequent commentator on various business news programs.  He has been the subject of extended profiles in the New York Times Magazine, The Financial Times, among other leading current-affairs publications.  He is published monthly as a columnist with Project Syndicate.  He also hosts www.NourielToday.com where is perspectives can be found and co-runs the site www.theboombust.com, an economic indicator research service.  Dr. Roubini received an undergraduate degree at Bocconi University in Milan, Italy, and a doctorate in economics at Harvard Univ"
Zach,Bradford,CleanSpark,CEO & President,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/zachary-bradford-154b6b1b/'}",{},"Zach Bradford has served as CleanSpark's Chief Executive Officer and President since October 2019. Previously he served as Chief Financial Officer from 2014 through October 2019. In June 2013, he founded a public accounting and consulting firm in Henderson, Nevada, where he served as an active partner until 2019. He has since retained ownership and transitioned to a non-active partner. He has also held various financial leadership roles in private and public companies, including a public accounting firm and a regional retail chain. Zach holds a bachelor's degree in accounting and a master's of accountancy from Southern Utah University. He is a licensed Certified Public Accountant in Nevada and a member of the American Institute of Certified Public Accountants. Zach has experience and knowledge in public company reporting and accounting, Bitcoin infrastructure economics, including the ASIC and energy markets, and mergers and acquisitions."
Scott,Levy,Sustainable Capital,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/scottalevy1/'}",{},"Dr. Scott Levy is co-Founder and CEO of Bedford Row Capital (BRC), a non-bank debt capital markets specialist which has established a number of market firsts in a drive to disrupt and democratise the capital markets.  BRC operates at the cross roads of DEFI and conventional capital markets by creating a comprehensive runway for international capital raising; a cost-efficient way to access critical finance through debt capital markets. Scott founded the firm in early 2016 bringing together a management team with decades of experience across both structured finance and technology that has since executed more than 100 public transactions across virtually all asset classes and sectors as diverse as trade finance, central bank liquidity, sukuk, liquidity management, high yield project finance and green bonds. BRC is a multi-award winning business with boots on the ground in London, Tallinn, Zurich, Monaco, Dubai and Singapore.  Scott leads BRC’s global offering underpinned by integrity, innovation and insight as well as nurturing a talented, dynamic global, multi-cultural and multi-lingual team.  BRC is at the forefront of innovation in Islamic capital markets and is proud to be a member of IIFM and promoting the democratisation of sukuk issuance globally."
Vladimir,Maslyakov,TheKey,Co-Founder & CTO,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"My main expertise is in product & business development in areas of machine learning, blockchain and shared workspaces.He has a masters degree in math and computer science at the Department of Computational Mathematics of Moscow State University. While working on my PhD thesis I participated in development of scalable software for algorithmic research and trading."
Dr. Ruchi,Dana,Dana Group,Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/danaruchi'}",{},"Dr Ruchi Dana is a qualified medical practitioner, who has transitioned successfully into a seasoned entrepreneur and Business Leader. Ruchi completed her MD from JNMCH, AMU and received her full-time MBA from Stanford University, US.Ruchi is the President, COO of Duluth Medical Technologies Inc, a Silicon Valley based Robotic Surgery device company. Apart from her family business, Dana Group of Companies, Ruchi has also worked with Golden Seeds, a women focused Angel Network in New York and New Silk Route Growth Capital, a PE firm in Dubai, she has mainly focused on healthcare related investments at both these firms. While still in her early thirties, Ruchi is a serial entrepreneur and has co-founded three businesses: Jugaad, an on-demand last mile logistics provider in the UAE, Pik A Venture, a crowdfunding accelerator platform for South-East Asia and One Big Family, an app for the elderly. Ruchi is a frequent speaker at various conferences and sits on several boards. Ruchi has been recognized by Forbes Middle East as the “Next Generation Business Leader, Arab World” for 3 consecutive years 2017, 2018 and 2019 and she has also been recognized by Campden Wealth as the “Women to Watch” in September’18 issue. Ruchi has also been recognized as “Top 75 Family Business Leaders” 2019 by Campden Research (UK). Ruchi mentors startups/founders and also volunteers her time for Médecins Sans Frontières, TiE and AIF (American India Foundation)."
Frank,Holmes,"CEO & CIO, U.S. Global Investors","Executive Chairman, HIVE Digital Technologies","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/company/hiveblockchain/about/'}",{},"Renowned global investor Frank Holmes leads HIVE Digital Technologies’ board of directors as Executive Chairman, contributing to the company’s vision and overall strategy. Frank is also the CEO and chief investment officer of U.S. Global Investors, a leading asset management firm based in San Antonio, Texas. He is a much-sought-after keynote speaker at international investment conferences and a regular commentator on business and financial media such as Fox Business Television, Bloomberg Radio, Kitco News and CNBC Asia. His award-winning CEO blog, Frank Talk, is one of the first, and most widely read in the finance industry."
Jaime,Leverton,Hut 8,Chief Executive Officer,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/jaime-leverton-she-her-3033a911/'}",{},"As CEO of Hut 8, Jaime sets the strategic direction for the company that is defining the digital asset revolution.Since joining the organization, she has transformed Hut 8 into a high-performance operation: in addition to bringing a third mine online in North Bay, Ontario, she has pursued a uniquely diversified strategy and acquired five high performance computing data centres that will provide the innovative infrastructure to support companies in the nascent Blockchain and Web 3.0 industries.Jaime is passionate about advancing high-growth and future-forward technology companies, most recently serving as the Chief Commercial Officer at eStruxture Data Centers. Her 20-plus years of leadership experience also includes driving revenue programs as General Manager of Canada and APAC, with data center and cloud provider Cogeco Peer 1 (now Aptum). Previously, she held leadership roles with National Bank, BlackBerry, Bell Canada, and IBM Canada.Jaime sits on the boards of the Stratford Festival and Technation, and serves as the Chair of IMWomen Canada."
Carson,Smith,SBI Crypto,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"With a background in Computer Engineering, Carson started Bitcoin mining circa 2012. Since then, his experience has expanded across multiple disciplines while building several large mining datacenters across North America, Europe and Asia. Serving as CEO of SBI Crypto since 2019, he built a successful team of a proprietary mining arm and top mining pool subisidary under the publicly traded fintech conglomerate, SBI Group."
Lin,Cheung,JKL Group,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/lin-cheung-b4a77386/'}",{},"Lin has over 15 years of experience in trading technology and operations. He began his career at Morgan Stanley as an equities trading technologist and previously was a Vice President at JP Morgan. He graduated from the University of Hong Kong with a MS and BS in Computer Science. Lin entered digital asset industry in 2017 launching an OTC and market making desk Point95 Global. P95 further expanded into JKL Group, additionally covering Asset Management, Venture Capital and Bitcoin Mining."
Mojiolaoluwa Seun,Salisu,Real Davis Group,Founder & CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/rd-coin/'}",{},"Mr. Mojiolaoluwa Seun Salisu is a renowned entrepreneur with an ambitious goal: bringing blockchain technology to everyday life across all industries. Mr. Seun Salisu is an IT entrepreneur and Stocks and commodity trader with over ten years of experience. Mr. Seun Salisu has extensive knowledge of the financial industry and technological advancements, allowing him to provide innovative solutions and advancements for his company in the fintech sector. Mr. Seun Salisu's ambition for innovation and understanding of the market will be granted as his organization ample success, planting it as an influential pioneer in the world of fintech.""Bringing people and blockchain together to build a better future."""
